#  ID	"RA	"	DEC	MAG_F160W	MAGERR_F160W	FWHM	STELLARITY	ELLIPTICITY	THETA	Z_BPZ	ZMIN_BPZ	ZMAX_BPZ	ODDS_BPZ	CHISQ2_BPZ	STAR	WEIGHT	NRS_F110W	NRS_F140X	NRS_CLEAR	REFERENCE
305	53.16549555	-27.82320333	28.332	0.647	16.87	0	0.549	51.5	3.19	0.23	3.66	0.604	0.831	0	11	27.812	-99	28.332	TRUE
735	53.1512792	-27.81799269	28.484	0.558	8.72	0	0.346	49.5	3.19	1.69	3.55	0.533	0.603	0	11	28.836	-99	28.484	TRUE
1275	53.14220112	-27.81257587	99	29.076	11.64	0	0.45	-19.7	3.19	0.31	3.62	0.316	1.909	0	11	99	-99	99	TRUE
1362	53.15178003	-27.81162572	28.66	0.611	9.13	0	0.225	59.4	3.19	2.15	3.47	0.563	0.72	0	11	29.263	-99	28.66	TRUE
2901	53.15089548	-27.80175998	27.868	0.165	12.74	0	0.428	80.9	3.19	2.76	3.57	0.785	0.274	0	11	28.343	27.938	27.868	TRUE
2945	53.16366532	-27.8015861	28.801	0.165	6.56	0	0.078	0.2	3.19	0.35	3.64	0.685	0.232	0	11	29.176	28.926	28.801	TRUE
3226	53.15066645	-27.80019012	30.152	0.396	8.71	0	0.425	26.2	3.19	0.35	3.71	0.285	0.895	0	11	30.176	99	30.152	TRUE
5753	53.14972957	-27.79247871	29.869	0.203	10.18	0	0.157	-23.6	3.19	0.28	3.72	0.435	0.547	0	11	30.137	29.645	29.869	TRUE
6736	53.16688692	-27.78428857	29.668	0.372	7.8	0	0.147	45.1	3.19	0.35	3.86	0.347	0.694	0	11	30.375	99	29.668	TRUE
7233	53.15929872	-27.76089309	27.725	0.059	11.07	0.06	0.395	-82.3	3.185	2.89	3.44	0.939	1.016	0	11	28.142	28.083	27.725	TRUE
2019	53.16113957	-27.80608314	24.86	0.006	5.05	0.03	0.184	83.8	3.184	3	3.36	0.995	0.131	0	11	25.483	25.103	24.86	TRUE
4201	53.17798819	-27.79545991	26.627	0.105	8.32	0.03	0.338	-61.9	3.184	2.91	3.41	0.958	0.487	0	11	26.912	-99	26.627	TRUE
8613	53.16967504	-27.76891513	29.405	0.196	5.04	0.16	0.113	-9.3	3.182	2.87	3.45	0.923	0.488	0	11	29.113	29.304	29.405	TRUE
